PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms
0.000,0.000,1.000,0.000,1.000,0.000,95325.297,0.472,95325.297
1.000,0.000,1.000,0.000,1.000,0.000,95381.789,56.488,95381.789
0.000,0.000,1.000,0.000,1.000,0.000,95382.258,0.468,95382.258
1.000,0.000,1.000,0.000,1.000,0.000,95433.492,51.240,95433.492
0.000,0.000,1.000,0.000,1.000,0.000,95433.977,0.480,95433.977
1.000,0.000,1.000,0.000,1.000,0.000,95487.844,53.864,95487.844
0.000,0.000,1.000,0.000,1.000,0.000,95488.320,0.480,95488.320
1.000,0.000,1.000,0.000,1.000,0.000,95546.102,57.780,95546.102
0.000,0.000,1.000,0.000,1.000,0.000,95546.578,0.480,95546.578
1.000,0.000,1.000,0.000,1.000,0.000,95596.578,50.000,95596.578
0.000,0.000,1.000,0.000,1.000,0.000,95597.070,0.488,95597.070
1.000,0.000,1.000,0.000,1.000,0.000,95650.961,53.896,95650.961
0.000,0.000,1.000,0.000,1.000,0.000,95651.445,0.480,95651.445
1.000,0.000,1.000,0.000,1.000,0.000,95705.344,53.900,95705.344
0.000,0.000,1.000,0.000,1.000,0.000,95705.828,0.484,95705.828
1.000,0.000,1.000,0.000,1.000,0.000,95759.742,53.912,95759.742
0.000,0.000,1.000,0.000,1.000,0.000,95760.211,0.468,95760.211
1.000,0.000,1.000,0.000,1.000,0.000,95814.203,53.992,95814.203
0.000,0.000,1.000,0.000,1.000,0.000,95814.680,0.476,95814.680
1.000,0.000,1.000,0.000,1.000,0.000,95868.656,53.980,95868.656
0.000,0.000,1.000,0.000,1.000,0.000,95869.188,0.528,95869.188
1.000,0.000,1.000,0.000,1.000,0.000,95923.109,53.924,95923.109
0.000,0.000,1.000,0.000,1.000,0.000,95923.594,0.488,95923.594
1.000,0.000,1.000,0.000,1.000,0.000,95977.609,54.016,95977.609
0.000,0.000,1.000,0.000,1.000,0.000,95978.094,0.480,95978.094
1.000,0.000,1.000,0.000,1.000,0.000,96035.609,57.516,96035.609
0.000,0.000,1.000,0.000,1.000,0.000,96036.078,0.472,96036.078
1.000,0.000,1.000,0.000,1.000,0.000,96086.617,50.540,96086.617
0.000,0.000,1.000,0.000,1.000,0.000,96087.102,0.484,96087.102
1.000,0.000,1.000,0.000,1.000,0.000,96141.133,54.032,96141.133
0.000,0.000,1.000,0.000,1.000,0.000,96141.617,0.484,96141.617
1.000,0.000,1.000,0.000,1.000,0.000,96195.656,54.036,96195.656
0.000,0.000,1.000,0.000,1.000,0.000,96200.125,4.468,96200.125
1.000,0.000,1.000,0.000,1.000,0.000,96250.172,50.048,96250.172
0.000,0.000,1.000,0.000,1.000,0.000,96250.656,0.484,96250.656
1.000,0.000,1.000,0.000,1.000,0.000,96304.703,54.044,96304.703
