one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDone_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
seq=17 ev=FIRED     val_us=146960 refBig_us=124240 period_us=134256 rpm=446 resid_us=13104 edgeToSpark_us=117472
seq=18 ev=SKIP      val_us=7584 refBig_us=122304
seq=19 ev=FIRED     val_us=104688 refBig_us=120400 period_us=133328 rpm=450 resid_us=-29568 edgeToSpark_us=116656
seq=20 ev=SKIP      val_us=37008 refBig_us=118528
seq=21 ev=SKIP      val_us=10096 refBig_us=116688
seq=22 ev=FIRED     val_us=106832 refBig_us=114880 period_us=132496 rpm=452 resid_us=-26496 edgeToSpark_us=115920
seq=23 ev=SKIP      val_us=39344 refBig_us=113088
seq=24 ev=SKIP      val_us=7904 refBig_us=111328
seq=25 ev=FIRED     val_us=149024 refBig_us=124960 period_us=133008 rpm=451 resid_us=16528 edgeToSpark_us=116368
seq=26 ev=SKIP      val_us=8560 refBig_us=123008
seq=27 ev=FIRED     val_us=147152 refBig_us=124128 period_us=133440 rpm=449 resid_us=14144 edgeToSpark_us=116752
seq=28 ev=SKIP      val_us=8064 refBig_us=122192
seq=29 ev=FIRED     val_us=145568 refBig_us=125120 period_us=133808 rpm=448 resid_us=12128 edgeToSpark_us=117072
seq=30 ev=SKIP      val_us=7904 refBig_us=123168
seq=31 ev=FIRED     val_us=144352 refBig_us=125824 period_us=134128 rpm=447 resid_us=10544 edgeToSpark_us=117360
seq=32 ev=SKIP      val_us=8048 refBig_us=123872
seq=33 ev=FIRED     val_us=142768 refBig_us=125488 period_us=134384 rpm=446 resid_us=8640 edgeToSpark_us=117584
seq=34 ev=SKIP      val_us=7472 refBig_us=123536
seq=35 ev=FIRED     val_us=140160 refBig_us=125120 period_us=134560 rpm=445 resid_us=5776 edgeToSpark_us=117728
seq=36 ev=SKIP      val_us=7888 refBig_us=123168
seq=37 ev=FIRED     val_us=99552 refBig_us=121248 period_us=133456 rpm=449 resid_us=-35008 edgeToSpark_us=116768
seq=38 ev=SKIP      val_us=38672 refBig_us=119360
seq=39 ev=SKIP      val_us=7904 refBig_us=117504
seq=40 ev=FIRED     val_us=141152 refBig_us=125200 period_us=133696 rpm=448 resid_us=7696 edgeToSpark_us=116976
seq=41 ev=SKIP      val_us=7664 refBig_us=123248
seq=42 ev=FIRED     val_us=139376 refBig_us=124976 period_us=133872 rpm=448 resid_us=5680 edgeToSpark_us=117136
seq=43 ev=SKIP      val_us=7568 refBig_us=123024
seq=44 ev=FIRED     val_us=97440 refBig_us=121104 period_us=132720 rpm=452 resid_us=-36432 edgeToSpark_us=116128
seq=45 ev=SKIP      val_us=39696 refBig_us=119216
seq=46 ev=SKIP      val_us=7424 refBig_us=117360
seq=47 ev=FIRED     val_us=139616 refBig_us=124368 period_us=132928 rpm=451 resid_us=6896 edgeToSpark_us=116304
seq=48 ev=SKIP      val_us=7904 refBig_us=122432
seq=49 ev=FIRED     val_us=135616 refBig_us=120528 period_us=133008 rpm=451 resid_us=2688 edgeToSpark_us=116368
seq=50 ev=SKIP      val_us=10368 refBig_us=118656
seq=51 ev=FIRED     val_us=99744 refBig_us=116816 period_us=131968 rpm=454 resid_us=-33264 edgeToSpark_us=115472
seq=52 ev=SKIP      val_us=37856 refBig_us=114992
seq=53 ev=SKIP      val_us=7808 refBig_us=113200
seq=54 ev=FIRED     val_us=141040 refBig_us=124480 period_us=132240 rpm=453 resid_us=9072 edgeToSpark_us=115696
seq=55 ev=SKIP      val_us=7584 refBig_us=122544
seq=56 ev=FIRED     val_us=101024 refBig_us=120640 period_us=131264 rpm=457 resid_us=-31216 edgeToSpark_us=114848
seq=57 ev=SKIP      val_us=38944 refBig_us=118768
seq=58 ev=SKIP      val_us=7728 refBig_us=116928
seq=59 ev=FIRED     val_us=105520 refBig_us=115104 period_us=130448 rpm=459 resid_us=-25744 edgeToSpark_us=114128
seq=60 ev=SKIP      val_us=38016 refBig_us=113312
seq=61 ev=SKIP      val_us=7712 refBig_us=111552
seq=62 ev=FIRED     val_us=148000 refBig_us=124784 period_us=130992 rpm=458 resid_us=17552 edgeToSpark_us=114608
seq=63 ev=SKIP      val_us=7712 refBig_us=122848
seq=64 ev=FIRED     val_us=119712 refBig_us=120944 period_us=130624 rpm=459 resid_us=-11280 edgeToSpark_us=114288
seq=65 ev=SKIP      val_us=44640 refBig_us=119056
seq=66 ev=SKIP      val_us=8528 refBig_us=117200
seq=67 ev=FIRED     val_us=174624 refBig_us=131312 period_us=131984 rpm=454 resid_us=44000 edgeToSpark_us=115472
seq=68 ev=FIRED     val_us=145312 refBig_us=129264 period_us=132400 rpm=453 resid_us=13328 edgeToSpark_us=115840
WATCHDOG: STALL gap_us=3000008
